image_path,flagged_pixel_fraction,likely_overlay,max_channel_divergence,mean_channel_divergence,split,class_label
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/427.JPG,0.1204234568285919,True,203,16.427258280621942,train,3
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/834.JPG,0.08291303904066985,True,204,13.58161989989967,train,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/823.JPG,0.06829842378081033,True,255,12.748993138988379,train,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/436.JPG,0.06327684636508166,True,254,13.793051741581154,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/454.JPG,0.06208056297769216,True,255,15.241257845025787,val,0
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1310.JPG,0.05799938020909788,True,254,8.98348855289698,train,0
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/458.JPG,0.05434906644106479,True,255,9.341788813032444,train,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/435.JPG,0.050228392297357816,True,255,10.913148231079266,val,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1468.JPG,0.04589579090811655,True,255,12.052847146728729,val,7
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1301.JPG,0.04586601025148406,True,194,5.222776906393293,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/421.JPG,0.04354474021335506,True,209,6.207996583800208,train,5
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/422.JPG,0.04286851121547351,True,255,8.086225077814452,train,5
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1469.JPG,0.04216472009665727,True,200,9.936413612565445,test,7
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/867.JPG,0.0403422290214743,True,253,7.9517890532041475,train,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1303.JPG,0.03847135080615257,True,255,6.83091858378202,val,4
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/401.JPG,0.038414325626416175,True,221,7.697789119387553,test,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/850.JPG,0.03655439250531913,True,255,10.754759367422794,test,4
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1465.JPG,0.036130567966753166,True,255,10.990901995980723,train,7
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/428.JPG,0.03574611956354695,True,190,7.64279237743968,test,3
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/900.JPG,0.03528644383282689,True,183,4.060116613901395,train,0
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/439.JPG,0.03512231215328819,True,255,10.337088004533943,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/945.JPG,0.03511371612663255,True,227,4.371090726931314,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/476.JPG,0.03444285457374524,True,255,9.684136348353702,train,3
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/851.JPG,0.033167860462784034,True,255,10.051798022811342,train,4
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/437.JPG,0.03311088295687885,True,255,7.737475842493055,test,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/268.JPG,0.031672267105169086,True,227,3.7676920235456732,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/570.JPG,0.030735610002641946,True,210,3.7123924555176493,val,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/457.JPG,0.029850716928315032,True,255,5.716651136823813,train,1
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/434.JPG,0.02881274313555161,True,255,8.845749770240838,train,2
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/397.JPG,0.0283010016185405,True,255,5.4041933491277865,test,6
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/852.JPG,0.02818245146439713,True,253,8.869211315382984,train,4
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/1466.JPG,0.027748161513436672,True,255,9.356857759916892,train,7
/teamspace/studios/this_studio/MMOTU-ex/data/raw/OTU_2d/images/866.JPG,0.027375430251281523,True,255,8.39595305275287,val,1
